|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |                       |   __Fahrradfahren__   |       __Golf__        |     __Gymnastik__     |      __Jogging__      |  __Nordic Walking__   |  __Rollschuhfahren__  |     __Schwimmen__     |   __Ski-Langlauf__    |      __Wandern__      |    __Basketball__     |     __Fussball__      |       __Tanz__        |    __Volleyball__     |     __Badminton__     |      __Squasch__      |      __Tennis__       |
|                       |mittel                 |                       |                       |ja                     |ja                     |                       |ja                     |                       |ja                     |                       |                       |                       |                       |                       |                       |                       |ja                     |
|                       |hoch                   |                       |                       |                       |                       |                       |                       |                       |                       |                       |ja                     |ja                     |                       |ja                     |                       |                       |                       |
|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |__Kalorienverbrauch (30min, 75kg) [oc]__|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |niedrig (<250cal)      |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |mittel (250cal-400cal) |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |hoch(>400cal)          |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |''__Trainingserwartungen__''|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |__Mannschaftssportart [y/n]__|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |__Wettbewerbssportart [y/n]__|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |__Trainierte Muskelgruppen [mc]__|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |Oberkörper             |                       |                       |                       |                       |ja                     |                       |                       |ja                     |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |Arme                   |                       |ja                     |                       |                       |ja                     |                       |                       |ja                     |                       |                       |                       |                       |                       |ja                     |ja                     |ja                     |
|                       |Bauch                  |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |Beine                  |ja                     |ja                     |                       |ja                     |ja                     |ja                     |                       |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |
|                       |Gesäß                  |ja                     |                       |                       |ja                     |ja                     |ja                     |                       |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |                       |                       |                       |
|                       |Rücken                 |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |ja                     |ja                     |ja                     |
|                       |alle                   |                       |                       |ja                     |                       |                       |                       |ja                     |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |__Trainingsziele [mc]__|                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |Ausdauer (Kreislauf)   |ja                     |                       |                       |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |                       |ja                     |ja                     |ja                     |ja                     |
|                       |Gewichtsabnahme        |ja                     |                       |                       |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |                       |                       |                       |                       |                       |                       |                       |
|                       |Selbsverteidigung      |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |                       |
|                       |Koordination           |                       |ja                     |ja                     |                       |                       |                       |ja                     |ja                     |                       |ja                     |ja                     |                       |ja                     |ja                     |ja                     |ja                     |
|                       |Fit werden/bleiben     |ja                     |                       |                       |ja                     |ja                     |ja                     |ja                     |ja                     |ja                     |                       |                       |                       |                       |                       |                       |                       |
|                       |Erholung oder Rehabilitation|                       |ja                     |                       |                       |                       |                       |ja                     |                       |ja                     |                       |                       |                       |                       |                       |                       |                       |
